2020-03-04 15:45:06-log: ui-kit@1.0.0 enable
2020-03-04 15:45:06-log: ipc@1.0.0 enable
2020-03-04 15:45:06-log: tester@1.0.0 enable
2020-03-04 15:45:06-log: preferences@1.0.0 enable
2020-03-04 15:45:07-log: engine@1.0.0 enable
2020-03-04 15:45:07-log: asset-db@1.0.0 enable
2020-03-04 15:45:07-log: console@1.0.0 enable
2020-03-04 15:45:07-log: scene@1.0.0 enable
2020-03-04 15:45:07-log: packager@1.0.0 enable
2020-03-04 15:45:07-log: project-setting@1.0.0 enable
2020-03-04 15:45:07-log: about@1.0.0 enable
2020-03-04 15:45:07-log: server@1.0.0 enable
2020-03-04 15:45:07-log: utils@1.0.0 enable
2020-03-04 15:45:07-log: profile@1.0.0 enable
2020-03-04 15:45:07-log: assets@1.0.0 enable
2020-03-04 15:45:07-log: inspector@1.0.0 enable
2020-03-04 15:45:07-log: hierarchy@1.0.0 enable
2020-03-04 15:45:07-log: preview@1.0.0 enable
2020-03-04 15:45:07-log: animator@1.0.0 enable
2020-03-04 15:45:08-log: builder@1.0.0 enable
2020-03-04 15:45:08-log: alipay-mini-game@1.0.0 enable
2020-03-04 15:45:08-log: android@1.0.0 enable
2020-03-04 15:45:08-log: baidu-mini-game@1.0.0 enable
2020-03-04 15:45:08-log: cocos-play@1.0.0 enable
2020-03-04 15:45:08-log: huawei-mini-game@1.0.0 enable
2020-03-04 15:45:08-log: ios@1.0.0 enable
2020-03-04 15:45:08-log: mac@1.0.0 enable
2020-03-04 15:45:08-log: native@1.0.0 enable
2020-03-04 15:45:08-log: oppo-mini-game@1.0.0 enable
2020-03-04 15:45:08-log: vivo-mini-game@1.0.0 enable
2020-03-04 15:45:08-log: web-desktop@1.0.0 enable
2020-03-04 15:45:08-log: web-mobile@1.0.0 enable
2020-03-04 15:45:08-log: wechatgame@1.0.0 enable
2020-03-04 15:45:08-log: windows@1.0.0 enable
2020-03-04 15:45:08-log: xiaomi-quick-game@1.0.0 enable
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/slider-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/toggle-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/sprite-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/scroll-view-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/view-group-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/webview/webView-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/widget-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/label-outline-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/graphics-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/ui-reorder-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/page-view-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/page-view-indicator-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/ui-static-batch-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/ui-opacity-component.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/ui/components/widget-manager.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/physics/framework/instance.js failed
2020-03-04 15:45:09-error: [preview-error]load http://localhost:7456/scripting/engine/cocos/physics/cocos/shapes/builtin-shape.js failed
